date,open,high,low,close,pct_change,volume,ln_return
2012-09-07,1432.12,1437.92,1431.45,1437.92,0.004,3717620000,0.004041761
2012-09-06,1403.74,1432.12,1403.74,1432.12,0.0204,3952870000,0.020229498
2012-09-05,1404.94,1408.81,1401.25,1403.44,-0.0011,3389110000,-0.001068232
2012-09-04,1406.54,1409.31,1396.56,1404.94,-0.0012,3200310000,-0.001166629
2012-08-31,1400.07,1413.09,1398.96,1406.58,0.0051,2938250000,0.005060487
2012-08-30,1410.08,1410.08,1397.01,1399.48,-0.0078,2530280000,-0.007836423
2012-08-29,1409.32,1413.95,1406.57,1410.49,0.0008,2571220000,0.000844035
2012-08-28,1410.44,1413.63,1405.59,1409.3,-0.0008,2629090000,-0.000808585
2012-08-27,1411.13,1416.17,1409.11,1410.44,-0.0005,2472500000,-0.000489089
2012-08-24,1401.99,1413.46,1398.04,1411.13,0.0065,2598790000,0.006433954
2012-08-23,1413.49,1413.49,1400.5,1402.08,-0.0081,3008240000,-0.008104975
2012-08-22,1413.09,1416.12,1406.78,1413.49,0.0002,3062690000,0.000226416
2012-08-21,1418.13,1426.68,1410.86,1413.17,-0.0035,3282950000,-0.003503694
2012-08-20,1417.85,1418.13,1412.12,1418.13,0,2766320000,-2.11544E-05
2012-08-17,1415.84,1418.71,1414.67,1418.16,0.0019,2922990000,0.001870367
2012-08-16,1405.57,1417.44,1404.15,1415.51,0.0071,3114100000,0.007075434
2012-08-15,1403.89,1407.73,1401.83,1405.53,0.0011,2655750000,0.001139009
2012-08-14,1404.36,1410.03,1400.6,1403.93,-0.0001,2930900000,-0.000128203
2012-08-13,1405.87,1405.87,1397.32,1404.11,-0.0013,2499990000,-0.001252678
2012-08-10,1402.58,1405.98,1395.62,1405.87,0.0022,2767980000,0.002186089
2012-08-09,1402.26,1405.95,1398.8,1402.8,0.0004,3119610000,0.000413544
2012-08-08,1401.23,1404.14,1396.13,1402.22,0.0006,3221790000,0.000620637
2012-08-07,1394.46,1407.14,1394.46,1401.35,0.0051,3682490000,0.005093766
2012-08-06,1391.04,1399.63,1391.04,1394.23,0.0023,3122050000,0.002326568
2012-08-03,1365.45,1394.16,1365.45,1390.99,0.019,3751170000,0.018861295
2012-08-02,1375.13,1375.13,1354.65,1365,-0.0075,4193740000,-0.007532003
2012-08-01,1379.32,1385.03,1373.35,1375.32,-0.0029,4440920000,-0.002904193
2012-07-31,1385.27,1387.16,1379.17,1379.32,-0.0043,3821570000,-0.004326099
2012-07-30,1385.94,1391.74,1381.37,1385.3,-0.0005,3212060000,-0.000483533
2012-07-27,1360.05,1389.19,1360.05,1385.97,0.0191,4399010000,0.01890085
2012-07-26,1338.17,1363.13,1338.17,1360.02,0.0165,4429300000,0.016405659
2012-07-25,1338.35,1343.98,1331.5,1337.89,-0.0003,3719170000,-0.000313878
